blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2024-11-24,2024-11-24 00:36:23.000 UTC,0xddbfbb3bbc7d4ecdbff9a469f43f38138c9773de993ae3e7230a82959e8b7f04,native,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xc36442b4a4522e871399cd717abdd847ab11fe88,Smart contract,Uniswap_v3: NonfungiblePositionManager,,,,,Uniswap_v3,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,13.975524892811272,47808.59359532023,DEX,Uniswap_v3: NonfungiblePositionManager
ethereum,2024-11-24,2024-11-24 01:08:35.000 UTC,0x9fd5a285b04c6d399858f6690e781a4151cc25974c0ced67477d2113074d801b,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.31,1060.6836,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 05:25:47.000 UTC,0x4b27d8d72bd4cb3de4a9956c1fbbda5f86f7b855ccc1ce24d06800c6c859efb1,stablecoin,0x00dad9dd4f5b889d89260a9079397341ddb1b8ce,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Smart contract,Aave_v3: AToken,,,,,Aave_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,135414.643831,135271.91679640213,lending,Aave_v3: AToken
ethereum,2024-11-24,2024-11-24 08:56:35.000 UTC,0x9a01f94ff3c3c208554439e29726846c6f8def803ce92f26dc67031e03b97e75,erc20,0x5dcbabb1918dedac26b509b883e748dcef6538d3,0x74343609d656f891c5e1b75aeb3871cb27ffa002,Safe,Safe,,,,,Gnosis_safe,Transfer,WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,45,13.7664,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 00:36:23.000 UTC,0xddbfbb3bbc7d4ecdbff9a469f43f38138c9773de993ae3e7230a82959e8b7f04,erc20,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,Smart contract,Uniswap_v3: Pair,DEX Pool,dex,dex_pools,,Uniswap_v3,Transfer,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,9954.216043887918,181365.81631963784,DEX,Uniswap_v3: Pair
ethereum,2024-11-24,2024-11-24 07:34:23.000 UTC,0x2b9617947c6c111c01282349437101600ecb82de919b4a55978d9a8b10328591,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.029909,102.11829870000001,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 00:21:35.000 UTC,0xa229da37bef384831a7b5e5a51f10e25ab9d7862ca476c62ce698aa6e56f6d4a,native,0x25f9b4c4f8182d0a21714d49a4ca7f9308e2ee48,0x882ec52e30ca90c3fcf6fc632d9a31061faee789,EOA,,,,,thisbetom.eth,thisbetom.eth,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.3848031173420477,1313.9872047878903,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 05:54:11.000 UTC,0x7cab6733e396ba2781a2bbee311ca09905e2fe84e4caf9d45e0d86243bf77324,stablecoin,0x00dad9dd4f5b889d89260a9079397341ddb1b8ce,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Smart contract,Aave_v3: AToken,,,,,Aave_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,25288.170519,25260.479972281697,lending,Aave_v3: AToken
ethereum,2024-11-24,2024-11-24 03:36:59.000 UTC,0xadc0afd72946e2b3e76d9266ce28f927e9480d6cd6ca95106c3a6c11774e9e8c,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.101,345.70886,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 03:13:47.000 UTC,0x9a51b58f75d3c702959748b73f01aa6193316e05fcb32346badcef045f6168e3,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.034,116.57648,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 01:13:59.000 UTC,0xb491119ed7a27073ef81ea2a12df47f3ee1c97fc34ab0a9f4b59ad6bdfa6be1b,erc20,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,Smart contract,Uniswap_v3: Pair,DEX Pool,dex,dex_pools,,Uniswap_v3,Transfer,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,2733.2157988180147,49553.2024325706,DEX,Uniswap_v3: Pair
ethereum,2024-11-24,2024-11-24 08:54:23.000 UTC,0xe63564e431ba6f3e1a3e515f9ae67a974505e83adb14c39141715ecb41f489c1,native,0x2bf916f8169ed2a77324d3e168284fc252ae4087,0x896214c50a25e81f2c4327fa82de22ce3e734693,EOA,,,,,,,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.5,1700.565,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:22:59.000 UTC,0xe313f9b00103aca392983517285a2392c9bb53358c8d5f91789187a0b227c1aa,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.036,123.03251999999999,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 08:26:23.000 UTC,0x7b1833958039885c1a50833aa37e6149fdf998411291a0cd096ebf754b27cc01,erc20,0x4fb312915b779b1339388e14b6d079741ca83128,0xa03400e098f4421b34a3a44a1b4e571419517687,EOA,,HTX 52,institution,cex_ethereum,,HTX 52,Transfer,PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,3195401000,65953.07664,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 07:13:59.000 UTC,0xccac674fac82d2fa69203e742944634d6012afb936ab8925ce6bd7571bf2d20b,erc20,0x4fb312915b779b1339388e14b6d079741ca83128,0xa03400e098f4421b34a3a44a1b4e571419517687,EOA,,HTX 52,institution,cex_ethereum,,HTX 52,Transfer,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,3845152000,103242.3312,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 03:16:47.000 UTC,0x1e43978e7185cc66d0da2b12cce073140abc359f25763ecafdb1c9567dd13804,erc20,0xd8cae424e488cf39d9d784f0d9ba2d285290b137,0xa90c9d538f452ec9175a5de5328eac72f4ce74cf,EOA,,,,,,,Transfer,MEME,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,73145.44,1079.6266944000001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 02:25:11.000 UTC,0x40b9faa97a19334a4711dc6d96726f67c24224f4aac7afb9c9ee04fc050cdad0,stablecoin,0x68045881d4b654978d385fcf235b0a18c674a69c,0xead225852fa63d2f9f2e3a1916bdbc855a4c7bc5,EOA,,,,,,,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,199.999349,199.736949854112,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:20:59.000 UTC,0xfc4ac557f2124853c9070b91e7652b0b553b4cebf1eea903c6cbc1df4dfd65ca,erc20,0xf20b338752976878754518183873602902360704,0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,EOA,,,,,fram-2.eth,fram-2.eth,Transfer,SKY,0x56072c95faa701256059aa122697b133aded9279,422046.7401915279,29504.02146656914,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 00:51:23.000 UTC,0xafd96df20a5af801fca156086b2c05915eae72c9f4ef8fcd890a24b5a155ae5b,erc20,0x9f4f18ac9cc9de7c1441ac39ab2dbd7174fa1561,0x0650caf159c5a49f711e8169d4336ecb9b950275,Smart contract,Sky: StakingRewards,,,,,Sky,Transfer,USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,14600.085876351099,14485.095599988957,unclassified transfer to Smart contract,Sky: StakingRewards
ethereum,2024-11-24,2024-11-24 08:34:11.000 UTC,0xa5e51c287d3ec40c85638b34d2e7a218ea209f74408d81bb8af716085aac1204,erc20,0x4fb312915b779b1339388e14b6d079741ca83128,0xa03400e098f4421b34a3a44a1b4e571419517687,EOA,,HTX 52,institution,cex_ethereum,,HTX 52,Transfer,GALA,0xd1d2eb1b1e90b638588728b4130137d262c87cae,2870000,115540.46,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 05:12:35.000 UTC,0xb2bfe6e3fdd2b818ee4160b65cf4a52c5039fc5ffb8ce609386f7d426680a75a,stablecoin,0xabde4306c91591fc9e3140040ca4b265faad51f5,0x3f8d2a81732053f0b99c554d39e284fae0ead8a4,EOA,,,,,,,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,769.23,768.4069239,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:50:35.000 UTC,0xa98586a42e6b6b71fd8e292992e3ea434f57a7d825889c0d72a2421b3b80fc08,erc20,0xf20b338752976878754518183873602902360704,0x0650caf159c5a49f711e8169d4336ecb9b950275,Smart contract,Sky: StakingRewards,,,,,Sky,Transfer,USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,15000000,14881950,unclassified transfer to Smart contract,Sky: StakingRewards
